time,value
2024-12-04T00:08:10.430116843Z,30
2024-12-04T00:11:25.386537043Z,30
2024-12-04T00:15:16.234853706Z,30
2024-12-04T00:16:53.008627399Z,30
2024-12-04T00:22:56.282414614Z,30
2024-12-04T00:28:36.913344825Z,30
2024-12-04T00:45:20.80122003Z,30
2024-12-04T00:46:25.871192313Z,30
2024-12-04T00:49:25.580486606Z,30
2024-12-04T00:52:03.396306421Z,30
2024-12-04T00:55:49.740761973Z,30
2024-12-04T01:01:48.417292664Z,30
2024-12-04T01:21:09.291920345Z,30
2024-12-04T01:22:50.051666141Z,30
2024-12-04T01:30:54.858351746Z,30
2024-12-04T01:34:52.106946277Z,30
2024-12-04T01:48:43.884676139Z,30
2024-12-04T01:50:37.20884634Z,30
2024-12-04T01:54:33.461028692Z,30
2024-12-04T01:58:52.714747178Z,30
2024-12-04T02:01:20.801728287Z,30
2024-12-04T02:07:20.688947889Z,30
2024-12-04T02:11:41.707082167Z,30
2024-12-04T02:24:45.997652445Z,30
2024-12-04T02:28:31.486007673Z,30
2024-12-04T02:32:12.061364252Z,30
2024-12-04T02:40:15.592444831Z,30
2024-12-04T02:42:55.33682131Z,30
2024-12-04T02:43:44.170808925Z,30
2024-12-04T02:44:03.346779199Z,53
2024-12-04T02:44:03.745118524Z,53
2024-12-04T02:44:13.789317755Z,30
2024-12-04T02:44:14.276305894Z,30
2024-12-04T18:19:17.016143163Z,29
2024-12-04T18:19:17.325835424Z,29
2024-12-04T18:19:17.731162934Z,28
2024-12-04T18:19:17.879679355Z,28
2024-12-04T18:19:17.904875119Z,27
2024-12-04T18:19:18.075993094Z,26
2024-12-04T18:19:18.164619575Z,27
2024-12-04T18:19:18.172867273Z,26
2024-12-04T18:19:18.198651784Z,25
2024-12-04T18:19:18.328244634Z,24
2024-12-04T18:19:18.448472326Z,23
2024-12-04T18:19:18.585550154Z,24
2024-12-04T18:19:18.592515394Z,23
2024-12-04T18:19:19.016186665Z,22
2024-12-04T18:19:19.347499501Z,21
2024-12-04T18:19:19.47480156Z,22
2024-12-04T18:19:19.494142007Z,21
2024-12-04T18:19:19.896125733Z,20
2024-12-04T18:19:20.007744671Z,20
2024-12-06T00:10:12.319595742Z,20
2024-12-06T00:12:53.02835257Z,20
2024-12-06T00:15:12.064971197Z,20
2024-12-06T11:54:25.780849491Z,19
2024-12-06T11:54:26.083840374Z,19
2024-12-06T11:54:26.163414774Z,18
2024-12-06T11:54:26.328778634Z,18
2024-12-06T11:54:26.477713506Z,17
2024-12-06T11:54:26.638932741Z,17
2024-12-06T11:54:26.774859002Z,16
2024-12-06T11:54:26.923803245Z,16
2024-12-06T11:54:27.380910312Z,15
2024-12-06T11:54:27.630869638Z,15
2024-12-10T20:52:27.10061273Z,16
2024-12-10T20:52:27.256611917Z,16
2024-12-10T20:52:27.499198423Z,17
2024-12-10T20:52:27.737374375Z,17
2024-12-10T20:52:27.864596696Z,18
2024-12-10T20:52:28.275046913Z,18
2024-12-10T20:52:28.627454309Z,19
2024-12-10T20:52:28.854902621Z,19
2024-12-10T20:52:29.886948887Z,20
2024-12-10T20:52:30.125101067Z,20
