time,value
2024-12-04T00:00:08.617801202Z,66
2024-12-04T00:00:18.689901725Z,67
2024-12-04T00:00:28.755705758Z,59
2024-12-04T00:00:38.876018112Z,65
2024-12-04T00:00:48.963529883Z,65
2024-12-04T00:00:59.060028885Z,67
2024-12-04T00:01:09.175411516Z,65
2024-12-04T00:01:19.255220491Z,67
2024-12-04T00:01:29.368204244Z,66
2024-12-04T00:01:39.489803716Z,67
2024-12-04T00:01:49.567338447Z,58
2024-12-04T00:01:59.656174463Z,67
2024-12-04T00:02:09.655155043Z,66
2024-12-04T00:02:19.72815091Z,67
2024-12-04T00:02:29.788401082Z,59
2024-12-04T00:02:39.90947448Z,66
2024-12-04T00:02:49.980257488Z,66
2024-12-04T00:03:00.091159538Z,65
2024-12-04T00:03:10.218849625Z,67
2024-12-04T00:03:20.211735048Z,63
2024-12-04T00:03:30.291450629Z,66
2024-12-04T00:03:40.40077894Z,62
2024-12-04T00:03:50.531757456Z,66
2024-12-04T00:04:00.515088277Z,67
2024-12-04T00:04:10.639012114Z,66
2024-12-04T00:04:20.613880243Z,55
2024-12-04T00:04:30.699231788Z,67
2024-12-04T00:04:40.812374289Z,67
2024-12-04T00:04:50.835706364Z,66
2024-12-04T00:05:00.932811235Z,63
2024-12-04T00:05:11.013535761Z,61
2024-12-04T00:05:21.08747212Z,66
2024-12-04T00:05:31.186909891Z,66
2024-12-04T00:05:41.186324662Z,66
2024-12-04T00:05:51.219505335Z,66
2024-12-04T00:06:01.332264217Z,67
2024-12-04T00:06:11.477295927Z,60
2024-12-04T00:06:21.54019308Z,57
2024-12-04T00:06:31.635589623Z,66
2024-12-04T00:06:41.773406067Z,55
2024-12-04T00:06:51.786173724Z,62
2024-12-04T00:07:01.883841667Z,67
2024-12-04T00:07:11.893474929Z,66
2024-12-04T00:07:22.014943073Z,66
2024-12-04T00:07:32.115046702Z,66
2024-12-04T00:08:10.430116843Z,58
2024-12-04T00:08:20.48750287Z,66
2024-12-04T00:08:30.553356532Z,66
2024-12-04T00:08:40.673850055Z,66
2024-12-04T00:08:50.713196891Z,59
2024-12-04T00:09:00.801235785Z,59
2024-12-04T00:09:10.930225546Z,66
2024-12-04T00:09:21.025912144Z,66
2024-12-04T00:09:31.124857345Z,66
2024-12-04T00:09:41.239122522Z,66
2024-12-04T00:09:51.291654574Z,66
2024-12-04T00:10:01.366471056Z,62
2024-12-04T00:10:11.464346426Z,66
2024-12-04T00:10:21.543470621Z,66
2024-12-04T00:10:31.640413549Z,67
2024-12-04T00:10:44.005102472Z,67
2024-12-04T00:10:51.735882397Z,59
2024-12-04T00:11:25.386537043Z,52
2024-12-04T00:11:35.459051196Z,66
2024-12-04T00:11:45.514892259Z,59
2024-12-04T00:11:55.586820332Z,65
2024-12-04T00:12:05.678780857Z,66
2024-12-04T00:12:15.759329133Z,67
2024-12-04T00:12:25.786512751Z,66
2024-12-04T00:12:35.855696824Z,66
2024-12-04T00:12:45.909188149Z,64
2024-12-04T00:12:55.965403077Z,66
2024-12-04T00:13:06.048921706Z,66
2024-12-04T00:13:16.159972386Z,66
2024-12-04T00:13:26.218226303Z,59
2024-12-04T00:13:36.291095114Z,64
2024-12-04T00:13:46.39102108Z,63
2024-12-04T00:13:56.466819273Z,66
